timestamp,mac,rssi,name,advertisement,lat,lon,accuracy
20151103 13:39:51,00:17:E9:D1:78:59,-69,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5247239,-122.6755351,93.7070007324
20151103 13:39:51,00:17:E9:D1:78:59,-67,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5247239,-122.6755351,93.7070007324
20151103 13:39:51,00:17:E9:D1:78:59,-81,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5247239,-122.6755351,93.7070007324
20151103 13:39:51,00:17:E9:D1:78:59,-71,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5247239,-122.6755351,93.7070007324
20151103 13:39:51,00:17:E9:D1:78:59,-73,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5247239,-122.6755351,93.7070007324
20151103 13:39:51,00:17:E9:D1:78:59,-70,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5247239,-122.6755351,93.7070007324
20151103 13:39:51,00:17:E9:D1:78:59,-71,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5247239,-122.6755351,93.7070007324
20151103 13:39:51,00:17:E9:D1:78:59,-75,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5247239,-122.6755351,93.7070007324
20151103 13:39:51,00:17:E9:D1:78:59,-78,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5247239,-122.6755351,93.7070007324
20151103 13:39:51,00:17:E9:D1:78:59,-77,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5247239,-122.6755351,93.7070007324
20151103 13:39:51,00:17:E9:D1:78:59,-75,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5247239,-122.6755351,93.7070007324
20151103 13:39:51,00:17:E9:D1:78:59,-76,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5247239,-122.6755351,93.7070007324
20151103 13:39:51,00:17:E9:D1:78:59,-80,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5247239,-122.6755351,93.7070007324
20151103 13:39:51,00:17:E9:D1:78:59,-80,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5247239,-122.6755351,93.7070007324
20151103 13:39:51,00:17:E9:D1:78:59,-82,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5247239,-122.6755351,93.7070007324
20151103 13:39:51,00:17:E9:D1:78:59,-82,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5247239,-122.6755351,93.7070007324
20151103 13:39:51,00:17:E9:D1:78:59,-88,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5247239,-122.6755351,93.7070007324
20151103 13:39:56,00:17:E9:D1:78:59,-83,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246559,-122.6754723,15
20151103 13:39:56,00:17:E9:D1:78:59,-87,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246559,-122.6754723,15
20151103 13:39:56,00:17:E9:D1:78:59,-85,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246559,-122.6754723,15
20151103 13:39:56,00:17:E9:D1:78:59,-82,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246559,-122.6754723,15
20151103 13:39:56,00:17:E9:D1:78:59,-88,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246559,-122.6754723,15
20151103 13:39:56,00:17:E9:D1:78:59,-89,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246559,-122.6754723,15
20151103 13:39:56,00:17:E9:D1:78:59,-80,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246559,-122.6754723,15
20151103 13:39:56,00:17:E9:D1:78:59,-86,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246559,-122.6754723,15
20151103 13:39:56,00:17:E9:D1:78:59,-86,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246559,-122.6754723,15
20151103 13:39:56,00:17:E9:D1:78:59,-84,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246559,-122.6754723,15
20151103 13:39:56,79:F4:EE:A5:33:BD,-88,null,02010613ff4c000c0e00f1bf339ab4a462810f0526087e000000000000000000000000000000000000000000000000000000000000000000000000000000,45.5246559,-122.6754723,15
20151103 13:39:56,00:17:E9:D1:78:59,-84,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246559,-122.6754723,15
20151103 13:39:56,00:17:E9:D1:78:59,-83,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246559,-122.6754723,15
20151103 13:39:56,00:17:E9:D1:78:59,-80,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246559,-122.6754723,15
20151103 13:39:56,00:17:E9:D1:78:59,-79,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246559,-122.6754723,15
20151103 13:39:56,00:17:E9:D1:78:59,-81,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246559,-122.6754723,15
20151103 13:39:56,00:17:E9:D1:78:59,-85,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246559,-122.6754723,15
20151103 13:39:56,00:17:E9:D1:78:59,-83,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246559,-122.6754723,15
20151103 13:39:56,00:17:E9:D1:78:59,-86,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246559,-122.6754723,15
20151103 13:40:01,00:17:E9:D1:78:59,-85,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246559,-122.6754723,15
20151103 13:40:01,00:17:E9:D1:78:59,-89,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246559,-122.6754723,15
20151103 13:40:01,00:17:E9:D1:78:59,-87,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246559,-122.6754723,15
20151103 13:40:01,00:17:E9:D1:78:59,-89,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246559,-122.6754723,15
20151103 13:40:06,00:17:E9:D1:78:59,-88,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246462,-122.6754729,16
20151103 13:40:06,00:17:E9:D1:78:59,-90,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246462,-122.6754729,16
20151103 13:40:06,00:17:E9:D1:78:59,-90,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246462,-122.6754729,16
20151103 13:40:06,00:17:E9:D1:78:59,-90,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246462,-122.6754729,16
20151103 13:40:06,00:17:E9:D1:78:59,-91,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246462,-122.6754729,16
20151103 13:40:06,00:17:E9:D1:78:59,-91,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246462,-122.6754729,16
20151103 13:40:06,00:17:E9:D1:78:59,-93,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246462,-122.6754729,16
20151103 13:40:06,00:17:E9:D1:78:59,-89,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246462,-122.6754729,16
20151103 13:40:06,00:17:E9:D1:78:59,-89,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246462,-122.6754729,16
20151103 13:40:06,00:17:E9:D1:78:59,-88,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246462,-122.6754729,16
20151103 13:40:06,00:17:E9:D1:78:59,-91,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246462,-122.6754729,16
20151103 13:40:11,00:17:E9:D1:78:59,-89,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246462,-122.6754729,16
20151103 13:40:11,00:17:E9:D1:78:59,-85,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246462,-122.6754729,16
20151103 13:40:11,00:17:E9:D1:78:59,-90,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246462,-122.6754729,16
20151103 13:40:11,00:17:E9:D1:78:59,-88,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246462,-122.6754729,16
20151103 13:40:11,00:17:E9:D1:78:59,-90,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246462,-122.6754729,16
20151103 13:40:11,00:17:E9:D1:78:59,-89,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5246462,-122.6754729,16
20151103 13:40:11,00:E0:4C:4B:46:05,-90,AUDIO_ACTIONS_US280A_BLE,02010a030366660319d0071909415544494f5f414354494f4e535f5553323830415f424c4500000000000000000000000000000000000000000000000000,45.5246462,-122.6754729,16
20151103 13:40:16,00:17:E9:D1:78:59,-85,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.52424,-122.6752531,20
20151103 13:40:16,00:17:E9:D1:78:59,-87,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.52424,-122.6752531,20
20151103 13:40:16,00:17:E9:D1:78:59,-85,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.52424,-122.6752531,20
20151103 13:40:16,00:17:E9:D1:78:59,-87,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.52424,-122.6752531,20
20151103 13:40:16,00:17:E9:D1:78:59,-85,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.52424,-122.6752531,20
20151103 13:40:16,00:17:E9:D1:78:59,-82,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.52424,-122.6752531,20
20151103 13:40:16,00:17:E9:D1:78:59,-88,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.52424,-122.6752531,20
20151103 13:40:16,00:17:E9:D1:78:59,-83,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.52424,-122.6752531,20
20151103 13:40:16,00:17:E9:D1:78:59,-89,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.52424,-122.6752531,20
20151103 13:40:16,00:17:E9:D1:78:59,-90,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.52424,-122.6752531,20
20151103 13:40:16,00:17:E9:D1:78:59,-89,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.52424,-122.6752531,20
20151103 13:40:21,00:17:E9:D1:78:59,-88,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.52424,-122.6752531,20
20151103 13:40:21,F7:67:97:44:1F:1C,-96,null,0201060303f4fe1616f4fe0027ad6e131d091c10a9a04f2c273c4438eae20000000000000000000000000000000000000000000000000000000000000000,45.52424,-122.6752531,20
20151103 13:40:21,00:17:E9:D1:78:59,-90,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.52424,-122.6752531,20
20151103 13:40:21,F7:67:97:44:1F:1C,-94,null,0201061aff4c000215fd7b79669c0f471a83a246d995ae85a14438eae2a30000000000000000000000000000000000000000000000000000000000000000,45.52424,-122.6752531,20
20151103 13:40:21,00:17:E9:D1:78:59,-86,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.52424,-122.6752531,20
20151103 13:40:21,00:17:E9:D1:78:59,-90,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.52424,-122.6752531,20
20151103 13:40:21,F7:67:97:44:1F:1C,-95,null,0201061aff4c000215fd7b79669c0f471a83a246d995ae85a14438eae2a30000000000000000000000000000000000000000000000000000000000000000,45.52424,-122.6752531,20
20151103 13:40:21,00:17:E9:D1:78:59,-90,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.52424,-122.6752531,20
20151103 13:40:21,F7:67:97:44:1F:1C,-95,null,0201060303f4fe1616f4fe0027ad6e131d091c10a9a04f2c273c4438eae20000000000000000000000000000000000000000000000000000000000000000,45.52424,-122.6752531,20
20151103 13:40:26,00:17:E9:D1:78:59,-90,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5241182,-122.6753581,11
20151103 13:40:26,00:17:E9:D1:78:59,-92,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5241182,-122.6753581,11
20151103 13:40:26,7B:F6:4B:11:1C:5F,-96,null,02010613ff4c000c0e00c0517346d7861f90dae7f070b0000000000000000000000000000000000000000000000000000000000000000000000000000000,45.5241182,-122.6753581,11
